Matroska;Matroska;;M;Mk;;mkv mka mks;http://packs.matroska.org/
Ogg;Ogg;;M;Ogg;;ogg ogm;http://www.free-codecs.com/Ogg_DirectShow_Filters_download.htm
AVI;AVI;RIFF;M;Riff;Audio Video Interleave;avi;
DivX;DivX;RIFF;M;Riff;Hack of AVI;divx;http://www.divx.com
GVI;Google Video;RIFF;M;Riff;Hack of AVI;gvi;http://video.google.com/playerdownload.html
AMV;AMV;RIFF;M;Riff;Chinese hack of AVI;amv;http://en.wikipedia.org/wiki/AMV_video_format
RIFF-MMP;MMP;RIFF;M;Riff;RIFF Multimedia Movie;;
M4V ;MPEG-4;MPEG-4;M;Mpeg4;;mp4 m4v;
isom;MPEG-4;MPEG-4;M;Mpeg4;ISO 14496-1 Base Media;mp4;http://www.apple.com/quicktime/download/standalone.html
iso2;MPEG-4;MPEG-4;M;Mpeg4;ISO 14496-12 Base Media;mp4;http://www.apple.com/quicktime/download/standalone.html
mp41;MPEG-4;MPEG-4;M;Mpeg4;ISO 14496-1 version 1;mp4;http://www.apple.com/quicktime/download/standalone.html
mp42;MPEG-4;MPEG-4;M;Mpeg4;ISO 14496-1 version 2;mp4;http://www.apple.com/quicktime/download/standalone.html
avc1;AVC (JVT);MPEG-4;M;Mpeg4;JVT AVC;3gpp 3gp;http://www.apple.com/quicktime/download/standalone.html
3gp1;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
3gp2;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
3gp3;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
3gp4;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
3gp5;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
3gp6;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
3gp7;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
3gp8;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
3gp9;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
mmp4;3GPP;MPEG-4;M;Mpeg4;Mobile version;3gpp 3gp;http://www.apple.com/quicktime/download/standalone.html
mp71;MPEG-4;MPEG-4;M;Mpeg4;ISO 14496-12 MPEG-7 meta data;mp4;http://www.apple.com/quicktime/download/standalone.html
mp7b;MPEG-4;MPEG-4;M;Mpeg4;ISO 14496-12 MPEG-7 meta data;mp4;http://www.apple.com/quicktime/download/standalone.html
qt  ;QuickTime;MPEG-4;M;Mpeg4;Quictime movie;mov qt;http://www.apple.com/quicktime/download/standalone.html
QT;QuickTime;MPEG-4;M;Mpeg4;Original Apple specifications;mov qt;http://www.apple.com/quicktime/download/standalone.html
MPEG-4PS;MPEG-4 Program;MPEG-4;M;Mpeg;;;
MPEG-4TS;MPEG-4 Transport;MPEG-4;M;MpegTs;;m4t m4s ts tp;
MPEG-2PS;MPEG-2 Program;MPEG-2;M;Mpeg;;vob mpeg mpg;
MPEG-2TS;MPEG-2 Transport;MPEG-2;M;MpegTs;;m2t m2s ts;
MPEG-1PS;MPEG-1 Program;MPEG-1;M;Mpeg;;mpeg mpg;
MPEG-1TS;MPEG-1 Transport;MPEG-1;M;MpegTs;;ts;
FLV;Flash Video;;M;Flv;;flv;http://www.macromedia.com/go/getflashplayer
SKM;Sky;;M;Skm;Sky Korean Mobilephone;skm;http://www.isky.co.kr/html/cs/download.jsp
SWF;Shockwave;;M;Swf;;swf;http://www.macromedia.com/go/getflashplayer
MXF;MXF;;M;Mxf;;mxf;
WM;Windows Media;;M;Wm;;asf wmv wma;
RM;RealMedia;;M;Rm;;rm rmvb ra;
DVDV;DVD Video;;M;Dvdv;;ifo;
CDXA;CDXA;;M;Cdxa;;dat;
AVC;AVC;AVC;V;Avc;Advanced Video Codec;avc h264;http://developers.videolan.org/x264.html
MPEG-4V;MPEG-4 Video;MPEG-4;V;Mpeg4;;mp4v;
MPEG-2V;MPEG-2 Video;MPEG-2;V;Mpegv;;mpgv mpv mp2v m2v;
MPEG-1V;MPEG-1 Video;MPEG-1;V;Mpegv;;mpgv mpv mp1v m1v;
FLIC;FLIC;;V;Flic;;fli flc;http://www.chem.nott.ac.uk/flc.html
AAC;AAC;;A;Aac;Advanced Audio Codec;aac;
AC3;AC3;;A;Ac3;Audio Coding 3;ac3;
AMR;AMR;;A;Amr;Adaptive Multi-Rate;amr;http://www.apple.com/quicktime/download/standalone.html
DTS;DTS;;A;Dts;;dts;
FLAC;FLAC;;A;Flac;Free Lossless Audio Codec;flac;http://flac.sourceforge.net/
APE;Monkey's Audio;;A;Ape;;ape mac;http://www.monkeysaudio.com/
M4A ;iTunes;MPEG-4;A;Mpeg4;Apple AAC audio with iTunes info;m4a;http://www.apple.com/itunes/
M4B ;iTunes;MPEG-4;A;Mpeg4;Apple audio with iTunes position;m4a;http://www.apple.com/itunes/
M4P ;iTunes;MPEG-4;A;Mpeg4;AES encrypted audio;m4p;http://www.apple.com/itunes/
MTV;AMV;MPEG-1;A;Other;Chinese hack of MPEG-1 layer 3;mtv;http://en.wikipedia.org/wiki/Chinese_MP4/MTV_Player
MPC;MusePack;;A;Mpc;;mpc mp+;http://www.musepack.net
MPEG-2A;MPEG-2 Audio;MPEG-2;A;Mpega;;m2a mpa2 mp2 mp3;
MPEG-1A;MPEG-1 Audio;MPEG-1;A;Mpega;;m1a mpa1 mp1 mp3;
WAV;Wave;RIFF;A;Riff;;wav;
RIFF-MIDI;MIDI;RIFF;A;Riff;RIFF Musical Instrument Digital Interface;;
AIFF;AIFF;;A;SndFile;Apple/SGI;aiff aifc;
AU;AU;;A;SndFile;Sun/NeXT;au;
Audio-Raw;Audio Raw;;A;SndFile;Undetermined raw audio format;;
PARIS;PARIS;;A;SndFile;Ensoniq;par;
SVX;Amiga Iff;;A;SndFile;Amiga Iff / SVX8 / SV16;iff;
NIST;NIST;;A;SndFile;Spere;nist;
VOC;VOC;;A;SndFile;;voc;
IRCAM;IRCAM;;A;SndFile;Berkeley/IRCAM/CARL;;
W64;W64;RIFF;A;SndFile;Sonic Foundry's Riff;w64;
MAT4;Matlab 4;;A;SndFile;;mat;
MAT5;Matlab 5;;A;SndFile;;mat;
PVF;PVF;;A;SndFile;Portable Voice Format;pvf;
XI;FT2E;;A;SndFile;FastTracker 2 Extended;xi;
HTK;HMM Toolkit;;A;SndFile;;htk;
SDS;Midi Sample;;A;SndFile;;sds;
AVR;AVR;;A;SndFile;Audio Video Research;avr;
SD2;SD2;;A;SndFile;Sound Designer 2;sd2;
TwinVQ;TwinVQ;;A;TwinVQ;;vqf;http://www.twinvq.org/english/index_en.html
MNG;MNG;PNG;I;Mng;Multiple-Image Network Graphic;mng;
JNG;JNG;PNG;I;Jng;JPEG Network Graphic;jng;
PNG;PNG;PNG;I;Png;Portable Network Graphic;png;
jp2 ;JPEG2000;;I;Other;;jp2;http://www.morgan-multimedia.com/JPEG2000/
JPEG;JPEG;;I;Jpeg;;jpeg jpg jpe;
BMP;Bitmap;;I;Bmp;;bmp;
ICO;ICO;;I;Ico;;ico;
GIF;GIF;;I;Gif;Graphics Interchange Format;gif;
TIFF;TIFF;;I;Tiff;;tiff tif;
RIFF-Palette;Palette;RIFF;I;Riff;RIFF Palette;;
RIFF-DIB;DIB;RIFF;I;Riff;RIFF Device Independent Bitmap;;
QTI;QuickTime Image;MPEG-4;I;Qt;;;http://www.apple.com/quicktime/download/standalone.html
7Z;7-Zip;;C;7z;;7z;http://7-zip.org
ZIP;ZIP;;C;Zip;;zip;http://winzip.com
RAR;RAR;;C;Rar;Rarlabs;rar;http://rarlabs.com
ACE;ACE;;C;Ace;;ace;http://winace.com
QTCA;QuickTime Archive;MPEG-4;C;Qt;Quicktime compressed archive;;http://www.apple.com/quicktime/download/standalone.html
